"Time"	"V1"	"V2"
420.01	0.832	0.728
450.23	0.8	0.74
480.16	0.769	0.736
510.02	0.743	0.728
540.18	0.729	0.726
570.3	0.71	0.71
600.24	0.7	0.697
630.26	0.687	0.683
659.98	0.673	0.675
690.18	0.656	0.66
720.26	0.642	0.645
